LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,GAIL,BC,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size
-603.5037488060876,-618.4743373415421,-1081.0942295873203,-792.518928479876,-789.9506938231203,-3282.178396449827,-705.2147104297794,-1258.2100982570105,13.458483020137415,520.0472860399627,-223.40436398077708,-4316.422010517257,100
-601.2769791824093,-578.6122246671357,-2190.310059949485,-754.5944506413156,-754.0391654245508,-3373.1218137603073,-690.3023439599169,-412.38030984410995,0.5513940651303892,597.7373527947373,-223.40436398077708,-4316.422010517257,100
-584.3628649322013,-673.3889731719742,-4847.257478763334,-813.628517506961,-818.123418716645,-4849.207613914993,-591.0095651382532,-4269.509610088159,9.056887835118872,520.0472860399564,-223.40436398077708,-4316.422010517257,100
-590.6196118677808,-952.6748081307821,-2361.1999304033243,-772.3007506792187,-772.3007506792019,-2339.862066159406,-786.9022289748974,-1927.6853003075862,2.6851387771326554,520.0472860404678,-223.40436398077708,-4316.422010517257,100
-949.1307075333582,-597.1195178102206,-4404.894472424014,-823.0152676627374,-830.3337570467216,-3209.319852589191,-687.7869687150136,-4529.266087652151,9.955026150655147,520.047286041879,-223.40436398077708,-4316.422010517257,100
-695.1670336866345,-700.0484030783866,-4158.377225404052,-911.355176772222,-910.6099752356804,-5537.879175733189,-935.3716013031795,-2416.7541686341015,7.517324947792713,520.0472860402101,-223.40436398077708,-4316.422010517257,100
-938.8170576079416,-1060.0826169321113,-2156.239837733166,-1162.590703104818,-1131.0054731692908,-3282.000345398789,-679.834731195481,-3046.8161521969137,10.426972284698646,520.047286041173,-223.40436398077708,-4316.422010517257,100
-690.1070620579686,-690.1070620578182,-1857.6236294836988,-896.9414738403661,-896.9414738404057,-3914.957748639884,-710.9363514340887,-1449.7361039017442,9.6230369042353,520.047286040256,-223.40436398077708,-4316.422010517257,100
-964.8993394650272,-977.0186234115091,-2574.3268234174852,-1126.32904915183,-1135.3425966223726,-3178.338200629354,-687.5186400791348,-1550.4289821335558,11.684209972782835,520.0472860399151,-223.40436398077708,-4316.422010517257,100
-959.5278450214646,-961.781545770155,-2906.3100389416827,-1179.1762650956796,-1177.2968737392468,-1883.0428331546648,-717.5498767493061,-3674.3762228825144,8.242445147030057,520.0472860405362,-223.40436398077708,-4316.422010517257,100
-3209.503765910127,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-445.04767254736475,-677.6117243201867,-223.40436398077526,6.572520305780927e-14,10354.891693362317,-223.40436398077708,-4316.422010517257,996
-3789.538869442155,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-231.98460787330188,-672.5342414803183,-223.40436398077526,6.572520305780927e-14,12223.007837406256,-223.40436398077708,-4316.422010517257,996
-3236.0103919534595,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-264.6801735451548,-675.239347334226,-223.40436398077526,6.572520305780927e-14,10297.005438313023,-223.40436398077708,-4316.422010517257,996
-3779.7889061626124,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-261.8275793407196,-672.8308978129419,-223.40436398077526,6.572520305780927e-14,12499.85104260099,-223.40436398077708,-4316.422010517257,996
-3004.859854468356,-426.18412651328754,-324.79424524671845,-426.18412651328754,-324.7942452467145,-438.2003304186027,-683.1726062947141,-233.51040680068144,14.688082286059265,8604.056055224424,-223.40436398077708,-4316.422010517257,996
-3128.1220837460114,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-241.50847235015547,-676.9146214609355,-223.40436398077526,6.572520305780927e-14,10466.171966133972,-223.40436398077708,-4316.422010517257,996
-2982.0357477576304,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-321.20765415751345,-679.7657668691023,-223.40436398077526,6.572520305780927e-14,9157.846471696674,-223.40436398077708,-4316.422010517257,996
-3607.6567454995225,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-302.7181883225005,-675.8051409780835,-223.40436398077526,6.572520305780927e-14,11693.081804155618,-223.40436398077708,-4316.422010517257,996
-3569.600419645477,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-234.21769894845684,-675.8462069268862,-223.40436398077526,6.572520305780927e-14,11840.245981816368,-223.40436398077708,-4316.422010517257,996
-3456.8594654117865,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-248.1911720777666,-674.3883801024497,-223.40436398077526,6.572520305780927e-14,11209.143340280942,-223.40436398077708,-4316.422010517257,996
-4710.91694398266,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-232.4256850053336,-677.6117243201867,-223.40436398077526,6.572520305780927e-14,15201.185599510132,-223.40436398077708,-4316.422010517257,1897
-4388.3652031054735,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-224.1784165984714,-675.5663867857115,-223.40436398077526,6.572520305780927e-14,14507.416618799798,-223.40436398077708,-4316.422010517257,1897
-4123.008992208966,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-231.2148953099468,-675.4468730424068,-223.40436398077526,6.572520305780927e-14,13703.888985323982,-223.40436398077708,-4316.422010517257,1897
-3479.823004628452,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-227.83707175899767,-680.7941461095996,-223.40436398077526,6.572520305780927e-14,11400.955889026423,-223.40436398077708,-4316.422010517257,1897
-4207.922300439461,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-227.24625217442355,-675.2167507071554,-223.40436398077526,6.572520305780927e-14,13436.850078702062,-223.40436398077708,-4316.422010517257,1897
-4234.832868466542,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-400.60119147525967,-675.0568983353393,-223.40436398077526,6.572520305780927e-14,13906.138048783578,-223.40436398077708,-4316.422010517257,1897
-3725.2953579904074,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-229.9229454793821,-673.731879158508,-223.40436398077526,6.572520305780927e-14,12161.647784587563,-223.40436398077708,-4316.422010517257,1897
-5153.0589351594435,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-224.3260961981685,-676.2761128584827,-223.40436398077526,6.572520305780927e-14,17197.96682621596,-223.40436398077708,-4316.422010517257,1897
-3617.310609217475,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-228.00063894610648,-675.3862657235846,-223.40436398077526,6.572520305780927e-14,11572.648813728376,-223.40436398077708,-4316.422010517257,1897
-4666.149948585234,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-230.49806736670433,-674.4504929998288,-223.40436398077526,6.572520305780927e-14,15286.533319865099,-223.40436398077708,-4316.422010517257,1897
-3836.875366901782,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.4199250576834,-677.6117243201867,-223.40436398077526,6.572520305780927e-14,12358.553299624458,-223.40436398077708,-4316.422010517257,2800
-4386.143151397496,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-229.48518624908894,-676.8078302606743,-223.40436398077526,6.572520305780927e-14,14484.097459534538,-223.40436398077708,-4316.422010517257,2800
-4270.891460627175,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-268.3982339677463,-678.4294838402827,-223.40436398077526,6.572520305780927e-14,13781.18890763363,-223.40436398077708,-4316.422010517257,2800
-4119.303073935521,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-227.0209201238203,-675.7393055802736,-223.40436398077526,6.572520305780927e-14,13421.045481771973,-223.40436398077708,-4316.422010517257,2800
-4500.003548724124,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-226.98523052537868,-675.6746512396658,-223.40436398077526,6.572520305780927e-14,14950.853608640768,-223.40436398077708,-4316.422010517257,2800
-4231.60286241962,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.8540120210374,-677.5036807455797,-223.40436398077526,6.572520305780927e-14,13622.181871162626,-223.40436398077708,-4316.422010517257,2800
-4054.1621068064533,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-224.05454972617193,-677.4823753159529,-223.40436398077526,6.572520305780927e-14,13364.278712939735,-223.40436398077708,-4316.422010517257,2800
-4186.197195058253,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-364.15652160993136,-676.3652924705422,-223.40436398077526,6.572520305780927e-14,13444.755817987363,-223.40436398077708,-4316.422010517257,2800
-4220.547537117475,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.54230920538348,-676.7756680437516,-223.40436398077526,6.572520305780927e-14,13585.391924351265,-223.40436398077708,-4316.422010517257,2800
-4085.918087457327,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-228.8854075463479,-676.7822238917934,-223.40436398077526,6.572520305780927e-14,13239.789446199758,-223.40436398077708,-4316.422010517257,2800
-4398.184441775159,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.4489378384803,-677.6117243201867,-223.40436398077526,6.572520305780927e-14,14583.552711396616,-223.40436398077708,-4316.422010517257,3696
-4164.159439562449,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.6064913720094,-673.1814684373733,-223.40436398077526,6.572520305780927e-14,13501.770998018681,-223.40436398077708,-4316.422010517257,3696
-3903.696103483325,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-224.96779972577357,-675.7746531770144,-223.40436398077526,6.572520305780927e-14,12676.90671740942,-223.40436398077708,-4316.422010517257,3696
-4430.8270282339945,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.68119080040253,-677.0429566350838,-223.40436398077526,6.572520305780927e-14,14351.908168019352,-223.40436398077708,-4316.422010517257,3696
-4123.011287386001,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.46460760061382,-675.3022634562168,-223.40436398077526,6.572520305780927e-14,13092.903882017847,-223.40436398077708,-4316.422010517257,3696
-4351.244340352074,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-258.57493033061394,-676.5787612545456,-223.40436398077526,6.572520305780927e-14,14015.20712975147,-223.40436398077708,-4316.422010517257,3696
-4119.301077648215,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.76845261101957,-681.0738814252054,-223.40436398077526,6.572520305780927e-14,13507.553441647146,-223.40436398077708,-4316.422010517257,3696
-4062.098904867099,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.42632160799423,-675.8099204995252,-223.40436398077526,6.572520305780927e-14,12981.486024537766,-223.40436398077708,-4316.422010517257,3696
-3930.5002449442213,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-234.9799035216638,-672.5371473765204,-223.40436398077526,6.572520305780927e-14,12715.845157111176,-223.40436398077708,-4316.422010517257,3696
-4331.583130914635,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.42503486880088,-678.0717580493613,-223.40436398077526,6.572520305780927e-14,14000.126592292414,-223.40436398077708,-4316.422010517257,3696
-4458.733259983557,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-447.0710092906522,-677.6117243201867,-223.40436398077526,6.572520305780927e-14,14636.831545410889,-223.40436398077708,-4316.422010517257,4600
-3895.636063290761,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.95622174624438,-672.2905466956236,-223.40436398077526,6.572520305780927e-14,12585.88544652739,-223.40436398077708,-4316.422010517257,4600
-3838.723396738271,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-223.40436398077534,-675.1698346075658,-223.40436398077526,6.572520305780927e-14,12580.638894443018,-223.40436398077708,-4316.422010517257,4600
-4655.909093849003,-223.4043639807761,-223.4043639807728,-223.4043639807761,-223.40436398077694,-224.75640152750614,-676.9482875092625,-223.40436398077526,6.572520305780927e-14,15229.045047994821,-223.40436398077708,-4316.422010517257,4600
