LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Worst,Random,S_Cover,dataset_size
-30.392897281892232,-30.26358618808643,-43.65819114743076,-32.99077295238893,-30.928129929930186,-27.082469846156958,-32.961575352449366,-44.66231711818658,-43.62587740709258,0.017015866129990412,55.94915626166893,-26.180225060948295,-67.81839557603237,-44.79748660306918,5.666666666666666,100
-26.30171821323114,-26.297115076471353,-44.33876553648743,-27.332536579194002,-32.82754038760755,-28.35657556982622,-27.83698778304868,-44.849078272629434,-43.57000341460527,0.01700751521674405,73.25732893314633,-26.180225060948295,-67.81839557603237,-44.79748660306918,4.666666666666667,100
-28.48619238674338,-28.406222713023464,-44.46517348063036,-43.67020605126331,-42.465252764777865,-27.710328744801906,-27.519970840483033,-44.7343955559053,-43.872403865099166,0.018087582672535185,143.73293915865747,-26.180225060948295,-67.81839557603237,-44.79748660306918,5.222222222222222,100
-26.711958264864588,-26.727889030977867,-42.73158167022148,-32.766256687773726,-33.833855918150114,-27.47959601429788,-26.501403782110792,-44.42335280650717,-43.635736110678245,0.01579516198967947,119.21172356998025,-26.180225060948295,-67.81839557603237,-44.79748660306918,4.444444444444445,100
-42.65740374631659,-42.57875456637263,-40.69084489639621,-42.26003725275374,-42.96365227620123,-28.12576933744082,-28.177494235088215,-44.6435801185809,-43.90993458337842,0.018964814189350653,44.04620338829187,-26.180225060948295,-67.81839557603237,-44.79748660306918,5.0,100
-26.28877368398327,-26.288777070367647,-42.678335076170804,-36.988008575033845,-33.324490290515605,-27.043632621389005,-26.504669790550533,-45.07146673039917,-44.608620151169184,0.018892872689914533,113.6593056527972,-26.180225060948295,-67.81839557603237,-44.79748660306918,3.111111111111111,100
-31.30392921473623,-31.267890892832327,-38.749020566498004,-33.419715449019456,-32.7618963147679,-34.440845968070015,-30.089503923217613,-44.63064878369588,-44.45659316862132,0.019091446698599593,21.657737950723735,-26.180225060948295,-67.81839557603237,-44.79748660306918,3.111111111111111,100
-28.48619238674338,-28.4469903777308,-45.37631880955082,-42.87546516190199,-41.93076001526298,-29.8728530248838,-27.78517671882492,-44.933095402035576,-44.118108429473125,0.01666352029791738,107.30958499147017,-26.180225060948295,-67.81839557603237,-44.79748660306918,3.5555555555555554,100
-28.48619238674338,-28.42944619553495,-46.65813707624575,-41.796744982875595,-47.57242493597979,-27.17416802867461,-27.75569065277269,-45.02786299536578,-43.84750313175831,0.0161251673568215,188.5879052670836,-26.180225060948295,-67.81839557603237,-44.79748660306918,3.7777777777777777,100
-30.392897281892232,-30.12896194885945,-43.234483794633014,-30.204033635427788,-31.21713119618772,-29.02271205402761,-31.42974472683826,-44.89728547550992,-44.07085421932888,0.01889000161341147,67.83252617259674,-26.180225060948295,-67.81839557603237,-44.79748660306918,5.0,100
-28.133062286640072,-28.42742042503184,-40.9330752344037,-29.024763396894986,-28.077189234342754,-29.01946338348975,-28.221956271189573,-44.692080860692265,-41.22651084976078,0.01745806254666224,34.02528394775411,-26.180225060948295,-67.81839557603237,-44.79748660306918,22.0,996
-28.48619238674338,-27.876462223636274,-36.485071027772385,-34.38581348397763,-33.17760372688288,-27.571514854280128,-27.302212567683316,-45.07167389562824,-40.349881272796516,0.01573105648009754,36.95889656597664,-26.180225060948295,-67.81839557603237,-44.79748660306918,29.555555555555557,996
-26.542486257567013,-26.63659674760991,-37.77773048796492,-28.283441648256588,-27.19624037355332,-27.568788810644524,-27.341773273694724,-44.61322457230722,-40.530855738221035,0.017920614990112563,31.03394891751487,-26.180225060948295,-67.81839557603237,-44.79748660306918,32.55555555555556,996
-28.48619238674338,-27.705857748356873,-39.232490387947784,-36.41341071733791,-33.76200876859155,-28.02927928896813,-27.540742845137373,-44.19260040972803,-40.39833087344494,0.017795983441492864,53.486639299906784,-26.180225060948295,-67.81839557603237,-44.79748660306918,35.55555555555556,996
-30.44378354300364,-29.377246927188516,-38.95129077603233,-33.19481141828655,-28.732757289042727,-29.653963068724767,-27.775441746235597,-44.680712806035444,-40.428465274978834,0.017326208313771567,70.43120392226037,-26.180225060948295,-67.81839557603237,-44.79748660306918,30.555555555555557,996
-28.48619238674338,-27.97919016667295,-42.053267815173804,-35.930518399107136,-35.350027530691094,-28.153349125159416,-27.539298464726038,-44.635876943711935,-41.30625283564134,0.01681409343443149,50.59465738018356,-26.180225060948295,-67.81839557603237,-44.79748660306918,27.444444444444443,996
-28.48619238674338,-27.901642599363026,-38.51522697398646,-38.303880084604316,-36.74044369649953,-29.34106882602208,-29.12029061028317,-45.206785642654694,-40.38126459002248,0.018674394030398236,101.18804643689748,-26.180225060948295,-67.81839557603237,-44.79748660306918,27.0,996
-32.03248086087526,-33.61638342790634,-39.59045297760822,-31.436411531801134,-32.80821557547465,-29.452781739313185,-27.192537459266152,-44.476273380009545,-41.226776125816635,0.01673857893795156,23.195857415108385,-26.180225060948295,-67.81839557603237,-44.79748660306918,26.555555555555554,996
-37.704201975288136,-37.71465415056793,-39.28778678573461,-36.05220834914975,-36.252459220901265,-28.474529111857187,-27.165543187258226,-44.519670548979974,-41.13153441712499,0.017561541581864862,10.525573710275012,-26.180225060948295,-67.81839557603237,-44.79748660306918,28.555555555555557,996
-36.61692682603983,-37.142896042205756,-39.78187830548031,-34.44889364639518,-36.50053003054772,-30.84401383036435,-27.715328894534476,-44.64675781803683,-40.76971415209453,0.017505434075988847,51.099388267811236,-26.180225060948295,-67.81839557603237,-44.79748660306918,30.777777777777775,996
-27.380287967689817,-27.636238258620835,-39.516157683767304,-38.3980321328354,-32.51956168205459,-27.22934688184817,-26.596710157642313,-44.70561629552594,-41.172426672998334,0.016776280778431085,93.84122370507963,-26.180225060948295,-67.81839557603237,-44.79748660306918,29.555555555555557,1897
-28.48619238674338,-27.532839702415938,-36.058411559922455,-36.26438146831827,-33.3986905765859,-27.979969942345264,-27.406140315375648,-45.56269118305445,-39.50050952284245,0.01802695857672515,57.039030129847774,-26.180225060948295,-67.81839557603237,-44.79748660306918,46.55555555555556,1897
-28.48619238674338,-27.72500711271793,-37.58693906198733,-34.338017649736294,-35.6565817126356,-28.159624910840254,-28.32373126558397,-45.22296587461612,-40.954000730209664,0.016714380206088193,74.23074003537573,-26.180225060948295,-67.81839557603237,-44.79748660306918,36.11111111111111,1897
-28.48619238674338,-27.624978539368513,-35.79275614890793,-43.06619936376215,-35.98536855728906,-29.071004893109837,-26.623570890259444,-44.41742129995138,-39.50631589598615,0.0163128015341588,133.65779631597263,-26.180225060948295,-67.81839557603237,-44.79748660306918,45.22222222222222,1897
-28.48619238674338,-27.662168212299914,-36.187908011180006,-41.475546965353885,-34.92172155481112,-29.4224122748926,-27.362734811271707,-44.591506064841,-39.60083498541386,0.016149790957462988,114.11678881202184,-26.180225060948295,-67.81839557603237,-44.79748660306918,41.55555555555556,1897
-28.48619238674338,-27.31171872288599,-36.06555972230844,-42.810265348782714,-36.02692259934345,-28.924736921604957,-28.211152231776655,-44.85577037130185,-39.9606981101307,0.015979644716570245,137.82579973804735,-26.180225060948295,-67.81839557603237,-44.79748660306918,50.77777777777778,1897
-30.392897281892232,-28.685772438601497,-36.774609444381525,-31.071214049555543,-28.891317924465685,-28.002621114298304,-26.19119244365232,-44.76391505102484,-39.08508793819146,0.01735626159980943,49.283224012211434,-26.180225060948295,-67.81839557603237,-44.79748660306918,42.55555555555556,1897
-34.58117417266989,-35.5652785302688,-35.897575953915315,-41.13711628664022,-38.63979748950768,-30.724296447629,-28.217363772887996,-44.64509272035329,-40.67600331140872,0.01572366871157357,74.63392572835762,-26.180225060948295,-67.81839557603237,-44.79748660306918,43.22222222222222,1897
-28.48619238674338,-27.9411029109423,-40.175743329698385,-40.93345065750742,-39.948642997928204,-26.883115930320972,-26.83146423420601,-44.742033280015846,-41.371710040812005,0.018087458921083686,229.82905424372535,-26.180225060948295,-67.81839557603237,-44.79748660306918,21.88888888888889,1897
-28.50250491017946,-29.315830704922348,-35.780243200824714,-29.121635024286142,-28.71356873135192,-29.261508800213534,-26.70095340220074,-44.158081789379196,-40.01046999033538,0.0185276486982889,17.459298556307132,-26.180225060948295,-67.81839557603237,-44.79748660306918,35.55555555555556,1897
-28.88618428406239,-29.048858094928423,-37.49238995065833,-33.56373557758422,-31.823976464712214,-26.540907283564884,-27.65387400931215,-44.68488415862155,-41.296096729728006,0.01614258497922474,45.133686398195756,-26.180225060948295,-67.81839557603237,-44.79748660306918,40.11111111111111,2800
-28.48619238674338,-27.38808810510542,-34.11715418401063,-39.07503839080176,-34.149797827537874,-26.794323615238586,-28.14657499948877,-45.06854149862819,-39.13627127230619,0.017729144109384705,86.97565154920656,-26.180225060948295,-67.81839557603237,-44.79748660306918,50.888888888888886,2800
-27.877622841250897,-27.28177793381125,-35.36597799360281,-31.318795898227393,-33.383142357095444,-27.755305560102748,-27.30393535807317,-44.45688724271621,-40.52941909716259,0.016796000811195776,75.07656945131707,-26.180225060948295,-67.81839557603237,-44.79748660306918,58.77777777777777,2800
-28.957723830389725,-27.478298537694712,-34.253812320700405,-31.800797662982408,-31.138919576714446,-27.218827770388856,-26.62960422060574,-44.43440964276332,-39.16385033730813,0.01653292305423675,55.112480377580425,-26.180225060948295,-67.81839557603237,-44.79748660306918,62.44444444444445,2800
-30.392897281892232,-28.667544815480095,-35.675439084517016,-34.1549331303727,-29.192873036681828,-31.461030180572475,-28.08280142975825,-44.8381214233354,-39.53988091092127,0.015031334709285062,77.97364357363719,-26.180225060948295,-67.81839557603237,-44.79748660306918,42.22222222222222,2800
-28.36427970097177,-29.940700293167204,-35.572978900480244,-31.76370781250869,-28.90877752910827,-29.822922492771177,-26.472467561785383,-44.1122117639805,-39.86552707948124,0.017474830702289484,7.523068196495473,-26.180225060948295,-67.81839557603237,-44.79748660306918,54.22222222222223,2800
-28.48619238674338,-27.306171181814925,-33.591719001683444,-40.57864118130171,-34.72546674959295,-30.231470344734976,-29.916759082764198,-44.862250880597685,-38.92175713668954,0.01710779149018836,136.43960177214993,-26.180225060948295,-67.81839557603237,-44.79748660306918,56.00000000000001,2800
-28.48619238674338,-27.748540725855296,-39.67838370712948,-39.29572412372543,-37.55727673667081,-28.3334630444458,-26.868060583418316,-44.33216894381227,-41.13794187799086,0.01557843287665394,107.55447558940045,-26.180225060948295,-67.81839557603237,-44.79748660306918,34.0,2800
-28.809702063541533,-28.452433480453383,-34.21568113852842,-37.91495828012891,-33.20203848824605,-27.591971834670183,-27.184246022653046,-44.835439713098225,-40.99655294664231,0.016215843590457586,65.33551514939705,-26.180225060948295,-67.81839557603237,-44.79748660306918,55.00000000000001,2800
-28.48619238674338,-27.394787103952236,-35.079428095492446,-34.75541727263458,-34.06071055445823,-28.73157037766021,-26.43240306277137,-44.568759812451454,-41.04493472961709,0.01572500885572374,56.616339892858235,-26.180225060948295,-67.81839557603237,-44.79748660306918,46.44444444444444,2800
-28.48619238674338,-27.41805854994837,-35.16832989973827,-43.68939831990735,-32.51213883013607,-28.947021764502857,-27.0849659768273,-44.25256558368577,-39.474480443975196,0.01715794137025875,204.61036002622842,-26.180225060948295,-67.81839557603237,-44.79748660306918,51.55555555555556,3696
-27.574713528253348,-27.64225364752553,-31.68911530215612,-31.355087481016266,-29.222827291210887,-28.09099364238443,-27.030829378209887,-44.36854113958753,-39.75124759063968,0.016494827200947144,49.50109895052675,-26.180225060948295,-67.81839557603237,-44.79748660306918,65.11111111111111,3696
-28.48619238674338,-27.12738348371544,-34.11256096359623,-33.50057552481812,-31.858680449134976,-27.46809684254734,-27.027218463193275,-44.835592274138875,-39.64206867551884,0.015784651101332575,34.74299327272564,-26.180225060948295,-67.81839557603237,-44.79748660306918,54.55555555555556,3696
-28.48619238674338,-26.80865142680804,-31.213150614534044,-36.909769909960815,-30.869955028128345,-27.89829314254993,-26.477539295347214,-44.64321710163629,-38.08594185113637,0.017862626274958028,86.29919074678969,-26.180225060948295,-67.81839557603237,-44.79748660306918,73.55555555555556,3696
-27.192750853099287,-27.863360478118338,-31.92470377735521,-29.382397197207133,-29.56320975776579,-27.92550234997987,-26.87668771318114,-45.110264529980455,-40.14330986600533,0.017223050841339106,27.07707115850698,-26.180225060948295,-67.81839557603237,-44.79748660306918,51.22222222222222,3696
-28.48619238674338,-26.7909357256024,-31.58666889187827,-36.9790710413213,-30.492076655771456,-27.902242516508018,-26.784027779583333,-44.72689482244163,-40.0201739214486,0.01714261290287496,129.29391001386725,-26.180225060948295,-67.81839557603237,-44.79748660306918,72.33333333333334,3696
