LPAL,LPAL_LIN,ROIL_LIN,ROIL_LINF,ROIL_LINF_LIN,ROIL_LINF_PRUNE,ROIL_LIN_PRUNE,GAIL,NBC,EstLInfDiff,Epsilon,Optimal,Random,dataset_size,BC
-746.0063494373757,-346.8799101135347,-2599.1148190527083,-431.7283667744424,-379.5194881962886,-906.0410123224784,-4331.182223310235,-708.4387686545601,-2032.8298868190943,1.6780407928462602,2208.1194030816646,492.61891325965695,-698.292800951232,100,49.21245112056006
-479.9668880638418,-417.1882134711445,-2499.446227995074,-343.1713798174631,-339.26822922569363,-963.10857950124,-4396.150373557057,-728.2293268182976,-1928.0567517016932,1.5769665489019329,2208.1194030806373,492.61891325965695,-698.292800951232,100,-389.91285689466747
-766.583518672745,-597.9200063538019,-2335.170376816008,-388.6093219432299,-384.4537794438856,-1099.5375552679488,-4597.11149872771,-633.8675751277103,-1783.0007819913287,1.5898635503321443,2208.119403081412,492.61891325965695,-698.292800951232,100,-360.1662778001025
-646.7763568018868,-379.8351070706218,-2583.6657970057868,-340.7165583600606,-335.9901172718371,-743.3589121472603,-4276.066057147331,-670.5446051526102,-2042.0201701405972,1.6616189632011942,2208.1194030714955,492.61891325965695,-698.292800951232,100,-118.95048734131987
-636.8261437144755,-500.38502301377576,-3008.9635434652982,-434.9486355117092,-336.11581835950085,-812.2246853162809,-4379.103280544241,-592.5597085605366,-2028.3280261737557,1.6736756205607872,2208.1194030819297,492.61891325965695,-698.292800951232,100,137.83905505731394
-665.4387652743309,-416.38874468647793,-2496.476965354664,-380.4090552158268,-380.7875276731921,-1201.409388411454,-4821.397160593996,-777.8857337176945,-2088.1829049740813,1.6870417864135103,2208.1194030818738,492.61891325965695,-698.292800951232,100,63.07253058509995
-917.6154004266422,-211.18984292260168,-2413.511040624519,-539.3510567788173,-542.2968994750053,-1685.5964576357524,-4377.759382105542,-695.6626419125209,-1386.8508283633082,1.6893684834145786,2208.119403080884,492.61891325965695,-698.292800951232,100,-1426.8694067184463
-688.3889459565404,-408.8692823946057,-2414.962150086748,-369.4785015033789,-433.9338467783559,-1650.4650911220765,-4818.769544553371,-789.5910814124893,-2039.448653481736,1.6452736263377303,2208.119403081527,492.61891325965695,-698.292800951232,100,-1053.190071449187
-689.4269752697746,-554.1598923024824,-2558.8531313454214,-448.9586269615877,-449.0722587126476,-1057.4468757840714,-4665.743074706878,-678.1983930568796,-1893.718029013687,1.6003412206241074,2208.119403082336,492.61891325965695,-698.292800951232,100,154.70281688079476
-688.1160219219039,-407.373558496514,-2429.8791547734854,-356.72383392399126,-353.1241971794185,-1016.7053636784492,-4674.358981158619,-691.8203446965866,-1800.0060118517272,1.6228477192719295,2208.1194030790816,492.61891325965695,-698.292800951232,100,113.86867496926486
-565.3682481545952,-467.0566090149004,-1713.7135001652784,-553.1098630239153,-442.8700598364192,-497.57016065695296,-3609.273279921589,-573.2637337694507,-89.6869589064888,1.468950763881273,561.7146252451589,492.61891325965695,-698.292800951232,996,218.99308836256645
-542.3047198157799,-347.5779941105436,-1775.921086696849,-589.6128879718091,-554.4111621315218,-839.7227789232575,-3253.9750267260483,-614.6071054141097,-147.35061764390008,1.5018253309484373,561.7146252439143,492.61891325965695,-698.292800951232,996,215.29500607868204
-687.2082563768158,-305.20090111700983,-2134.2334013539867,-581.6772648528757,-644.9581428449062,-1412.6270803460352,-4106.637862117736,-404.8322967219687,211.9905047369849,1.5019049989451605,1297.7747895907837,492.61891325965695,-698.292800951232,996,213.0919189982995
-383.6483063355133,-114.11310291360368,-1196.164783759359,-308.06269108820163,-270.7577411525036,-609.8891919417817,-2654.113042871984,-534.8367348668947,-155.4763111118123,1.5044625584901277,561.7146252440356,492.61891325965695,-698.292800951232,996,215.27039520381993
-401.07478670121344,-194.9809498736549,-1094.317628330568,-396.2165765511005,-362.3354231498225,-653.3576273052449,-2494.0591649733583,-665.6251162359312,-333.66274124963905,1.650684390950356,561.7146252410374,492.61891325965695,-698.292800951232,996,202.37502241220147
-492.0292837871826,-288.1661769699945,-2009.878495618231,-359.10427982006297,-483.4948408274827,-902.429104979312,-3837.5050099058126,-602.7586318764338,118.57274202878692,1.502676082985798,774.8691949662511,492.61891325965695,-698.292800951232,996,202.63687935335963
-506.0701760451604,-243.26101749439,-1823.949264096508,-472.7378208042935,-418.5190508585535,-538.1805901307243,-3603.014322837622,-595.2652920734689,-375.41420349435504,1.519184811235731,561.7146252440962,492.61891325965695,-698.292800951232,996,-241.05755239066946
-456.2584374416326,-263.48084808797057,-1283.80691978521,-432.6606927599384,-432.6606927599705,-662.2335039260616,-2618.599692263598,-511.0442607611531,-1093.171159104617,1.9286245321846955,561.714625248203,492.61891325965695,-698.292800951232,996,218.15327048350346
-331.15259873961287,-179.36938751900124,-1434.364248607567,-106.61023840615734,-106.6102384061589,-378.8428032907276,-2932.6912860436514,-627.4563211013489,-329.832293926117,1.4954527646137636,561.7146252468458,492.61891325965695,-698.292800951232,996,-426.16041057133833
