LIN_REG,NBC_REG,GAIL_REG,LPAL_REG,OPT_REG,RAND_REG,WORST_REG,dataset_size
8773.369875737444,15272.415480997357,13998.496232380427,16428.701424663413,17514.12476958756,14266.669075206064,17857.442904852374,100
9041.572281061082,15263.761080289649,14930.187845223567,16974.779570040675,18060.202914962952,14812.747220581456,17847.76957012416,100
8521.503447782874,14618.493678753817,14002.282392388683,16227.590275197734,17016.74272003969,13769.287025658192,17851.09209849107,100
8947.427774928865,15320.92163564713,14432.996938937838,17085.66357794467,17864.360380818027,14616.90468643653,17855.32309200473,100
9099.964303743907,15297.915805628989,15012.606907447684,17092.38204167117,18177.80538659338,14930.349692211883,17846.951143859478,100
8077.868339492354,14331.587356274369,12874.650199597887,15903.626195075605,16146.04184950302,12898.586155121524,17834.522752446595,996
8166.921139151302,14253.867564598204,14035.401419227148,16049.592818011262,16324.723724775053,13077.268030393556,17833.946476492452,996
8065.5583276798025,14023.93241570696,13408.729223032758,15880.864695834913,16123.280350262316,12875.824655880819,17832.6642280623,996
7837.0846119084235,13742.225288906193,12368.241499406067,15424.133208864832,15666.54886329409,12419.093168912594,17832.448283487793,996
7493.709572606226,13142.932743622781,12521.38502568855,14611.15314063275,14981.909319360395,11734.453624978898,17830.337748817008,996
7867.346868686625,14035.40794682865,12685.983954177842,15619.101174470707,15728.2463505531,12480.790656171603,17831.275309754932,1897
7759.7269669449,13766.08025078346,12825.208960493952,15477.5775946246,15514.521079367838,12267.065384986341,17829.760777486998,1897
8043.909620660588,13484.529421626577,14446.848845805005,15996.43969581753,16082.149406908731,12834.693712527234,17830.49775737676,1897
8027.169318425914,13990.6170521036,13697.84237745264,16009.859844981785,16046.803329725923,12799.347635344426,17832.363230090417,1897
7575.081432547644,13614.481114733093,12303.248347963166,14935.54720272008,15143.935268136778,11896.479573755281,17831.055519923557,1897
7734.5344030536835,13724.614373094646,12901.342909603361,15469.088423614172,15462.635637368152,12215.179942986655,17831.261091702065,2800
8152.7629306504405,13628.97145707509,13769.65533196732,16289.635818313405,16299.734403507413,13052.278709125916,17830.619380758504,2800
